b_storage1,b_storage2,b_storage3,b_storage4,b_storage5,b_storage6,b_storage7,b_storage8,b_storage9,b_storage10,b_storage11,b_storage12,b_storage13,b_storage14,b_storage15,b_storage16,b_storage17,b_storage18,b_storage19,b_storage20,se_storage1,se_storage2,se_storage3,se_storage4,se_storage5,se_storage6,se_storage7,se_storage8,se_storage9,se_storage10,se_storage11,se_storage12,se_storage13,se_storage14,se_storage15,se_storage16,se_storage17,se_storage18,se_storage19,se_storage20,p_storage1,p_storage2,p_storage3,p_storage4,p_storage5,p_storage6,p_storage7,p_storage8,p_storage9,p_storage10,p_storage11,p_storage12,p_storage13,p_storage14,p_storage15,p_storage16,p_storage17,p_storage18,p_storage19,p_storage20
-1.0281821,-1.2727708,-1.5176951,-1.7771285,-2.0121512,-2.25719,-2.5291088,-2.7569807,-2.975096,-3.2472875,-3.484344,-3.7319281,-3.9763029,-4.2415895,-4.4652677,-4.7071295,-4.9780464,-5.2185311,-5.4516678,-5.7539001,1.0309838,1.027227,1.0260758,1.0253716,1.0185199,1.0165135,1.0152631,1.0131761,1.0175438,1.0093497,1.006879,.99270082,.9986524,1.0014143,.99680793,.98754388,.98331487,.98536676,.97805136,.98168027,.32447708,.22237878,.14674953,.090584151,.054961268,.03196919,.016875483,.0095042745,.0056082439,.0025291312,.0012726203,.00053212052,.00027326908,.00012563275,.000058744859,.000023693501,0,0,0,0
1.4230009,1.1748815,.91030347,.6625492,.42035621,.146165,-.10183208,-.3428227,-.59890521,-.84956646,-1.1083337,-1.3604804,-1.642643,-1.8641255,-2.1326916,-2.3763509,-2.6061225,-2.9090824,-3.1190605,-3.4082446,1.0519118,1.0502633,1.0472724,1.0464581,1.0424129,1.0382901,1.0350809,1.0319854,1.0306799,1.0279802,1.0242023,1.02338,1.0218785,1.0203198,1.0214307,1.0146911,1.0123017,1.0020173,1.0062535,.99583298,.18354073,.26979917,.38979045,.5301615,.68885738,.88873726,.92210937,.74143279,.5643689,.41333687,.28551254,.19106634,.11562538,.074985377,.043056611,.024121558,.013748867,.0059219701,.0034948094,.0014188968
1.3708662,1.124166,.86111963,.5999198,.35514477,.12903185,-.14829826,-.40228412,-.64774859,-.91134173,-1.1570714,-1.3892031,-1.6316829,-1.8916516,-2.1415246,-2.3711717,-2.6288083,-2.9120681,-3.2113976,-3.4535527,1.0869981,1.0840714,1.0812261,1.0807377,1.0797789,1.0750074,1.079625,1.0561497,1.0672693,1.063236,1.0604779,1.057534,1.0512207,1.0501714,1.0523919,1.0523345,1.0390145,1.0393078,1.0331556,1.0315655,.21438433,.30582026,.43037051,.58184099,.74390161,.90504658,.89141786,.70524633,.54724962,.39635026,.28160623,.19627599,.12830521,.079016626,.048360158,.029656619,.01533952,.007719689,.0034131624,.0017539063
-1.0318092,-1.2761812,-1.5197245,-1.7628092,-2.0051367,-2.2936032,-2.4980643,-2.7628069,-3.0040879,-3.2677915,-3.4932673,-3.7555254,-3.9774134,-4.243526,-4.4717374,-4.7475104,-4.973207,-5.190804,-5.4801064,-5.7660275,1.0593655,1.0581228,1.0555621,1.0566612,1.0522187,1.0457971,1.0483202,1.0397389,1.0315642,1.0387973,1.0300206,1.0299219,1.0240579,1.0218337,1.0210605,1.0141793,1.0200369,1.0143266,1.0203314,1.0066246,.33577424,.23470035,.157536,.10288041,.063726962,.034023948,.021893132,.011178218,.0057836669,.0030808102,.0015501064,.00074239145,.00036688338,.00016211228,.000080354039,.000031085288,.000016725366,0,0,0
1.4473165,1.1977317,.95477879,.68916756,.43069634,.18526228,-.073777728,-.31585416,-.56838423,-.83922589,-1.077052,-1.3341953,-1.5604501,-1.8324922,-2.07899,-2.3580952,-2.6196802,-2.8349469,-3.0985959,-3.3320124,1.1041039,1.1013844,1.0991802,1.0971739,1.0928305,1.0866941,1.0830075,1.0832807,1.0889717,1.082819,1.0784025,1.0744832,1.0699611,1.0701234,1.0710014,1.0626314,1.0570366,1.0571645,1.0578976,1.0445449,.197203,.28317723,.39010698,.53340238,.69554168,.86546928,.94601887,.77208418,.60451669,.44276443,.3237752,.22140071,.15234405,.094375417,.05913344,.032072477,.017407568,.010508429,.0055312826,.0027277323
.92309636,.67263991,.41876331,.17811541,-.078605004,-.34016612,-.58754551,-.84211838,-1.1154639,-1.3517432,-1.5651819,-1.8512782,-2.1061149,-2.3340373,-2.5606985,-2.8576298,-3.0898402,-3.3815773,-3.626317,-3.8622999,1.0741829,1.0720111,1.0660868,1.0670729,1.0623542,1.0570973,1.056379,1.052081,1.0546017,1.0530633,1.0469425,1.039379,1.0428317,1.0374715,1.0350837,1.0368075,1.0239745,1.0268986,1.026579,1.0286661,.39514565,.5338394,.69649905,.86825383,.9413771,.74924475,.58110523,.42807493,.29637951,.20647912,.14257149,.0822993,.04999236,.029897485,.017595369,.0086877067,.0043664994,.0020469876,.0010346124,.00053958781
-.59720457,-.84262556,-1.0831175,-1.3481261,-1.5954212,-1.8221939,-2.0735703,-2.3310845,-2.5738845,-2.8068202,-3.0576477,-3.3267772,-3.5500579,-3.7945621,-4.0463867,-4.30755,-4.5488667,-4.8087969,-5.0407019,-5.2838421,1.1370139,1.1328721,1.1322894,1.1295615,1.1281232,1.122413,1.1172074,1.1131047,1.1133052,1.1109596,1.1065328,1.1041628,1.1035465,1.0958484,1.0908217,1.0847551,1.0925649,1.0932016,1.0881121,1.0764153,.60224581,.46124154,.34438947,.23953597,.16484484,.11215578,.070646428,.042464279,.025881046,.015476316,.0085307201,.0044203638,.0025309122,.0012648647,.00061672868,.00028224819,.00015690745,.00007565054,.000036265355,.000015036406
-.15387042,-.40015048,-.64457893,-.90018851,-1.1516577,-1.4007694,-1.6553088,-1.8772658,-2.1609681,-2.3565242,-2.6280048,-2.925317,-3.1495078,-3.3973849,-3.6098835,-3.8825758,-4.1697388,-4.395947,-4.6454749,-4.8869758,1.1177453,1.113994,1.1115586,1.1093502,1.1044947,1.1049061,1.1033814,1.1035928,1.0921211,1.0962093,1.0852727,1.0822331,1.0905513,1.083652,1.0770341,1.0840827,1.0722899,1.0708773,1.0718601,1.0742033,.89118183,.7212863,.56516373,.42179003,.30319625,.21203199,.14122081,.096507438,.054595184,.037529018,.019965848,.0099528655,.0061646607,.0031719198,.0017350962,.00089749543,.00036178954,.00018772931,.00009258568,.000047157959
-.44824144,-.7022723,-.94642115,-1.1905968,-1.4457256,-1.6886706,-1.924155,-2.1813776,-2.4364095,-2.6668181,-2.933567,-3.195044,-3.4207718,-3.6932254,-3.9304707,-4.1863065,-4.4063587,-4.6474266,-4.914454,-5.13975,1.2480892,1.2465005,1.2449936,1.2367249,1.2356957,1.2340631,1.2292668,1.2236857,1.2234209,1.2218249,1.2182862,1.2169912,1.211321,1.2070286,1.2040988,1.1997669,1.2003949,1.2023336,1.1933715,1.1847446,.72133178,.5762344,.4514955,.3413412,.24876978,.17864458,.12520231,.082052514,.05311941,.03484397,.02062525,.012110087,.0072894096,.0038953654,.0022186188,.0011718168,.00069121731,.00038797254,.00018033305,.000091370472
-.14693502,-.38396299,-.64147907,-.89894021,-1.1681141,-1.3774546,-1.6226752,-1.8853202,-2.1309848,-2.3664639,-2.6305532,-2.8817115,-3.1496768,-3.3283916,-3.6457105,-3.8520865,-4.1487875,-4.4094496,-4.5812469,-4.8458776,1.1839365,1.1803842,1.1776606,1.1756893,1.1730043,1.17231,1.1696811,1.1616849,1.162122,1.154194,1.15061,1.1550785,1.1502941,1.1422906,1.1414487,1.1414152,1.1359996,1.1355476,1.1304195,1.1225199,.90183687,.74661845,.58890629,.44888425,.32517341,.24677694,.17285171,.11227203,.073964328,.046763793,.027478511,.01672272,.0090992702,.005758943,.002697614,.0016250137,.00073012093,.00036784215,.00022023401,.000097632103
